Decimal ,Opcode,Hex Opcode,Hex Func,cvt,,Pipeline,AlphaCPU
17.024,MT_FPCR,17,24,4C,,, m_cpu->setFPCR
15.08,ADDF,15,8,30,,,m_cpu->addFFormat
16,ADDS/C,16,,28,,,m_cpu->addSFormat
16.04,ADDS/M,16,4,2C,,,m_cpu->addSFormat
16.08,ADDS,16,8,30,,,m_cpu->addSFormat
16.0C0,ADDS/D,16,0C0,E8,,,m_cpu->addSFormat
16.02,ADDT/C,16,2,2A,,,m_cpu->addTFormat
16.06,ADDT/M,16,6,2E,,,m_cpu->addTFormat
16.0A0,ADDT,16,0A0,C8,,,m_cpu->addTFormat
16,ADDT/D,16,,28,,,m_cpu->addTFormat
16.0A4,CMPTUN,16,0A4,CC,,,m_cpu->compareTFormat
15.03E,CVTQG/C,15,03E,66,,,m_cpu->convertQuadToF
15.0BC,CVTQF,15,0BC,E4,,,m_cpu->convertQuadToF
16.03C,CVTQS/C,16,03C,64,,,m_cpu->convertQuadToS
16.03E,CVTQT/C,16,03E,66,,,m_cpu->convertQuadToT
15.0xBC,CVTQF,15,0xBC,,,,m_cpu->convertToVaxF
15.0x#C,CVTQF_C,15,0x3C,,,,m_cpu->convertToVaxF
15.0x13C,CVTQF_UC,15,0x13C,,,,m_cpu->convertToVaxFUnbiased
15.03C,CVTQF/C,15,03C,64,,,m_cpu->convertQuadToG
15.0BE,CVTQG,15,0BE,E6,,,m_cpu->convertToVaxG
15.0x13E,CVTQG_UC,15,0x13E,,,,m_cpu->convertToVaxGUnbiased
16.02F,CVTTQ/C,16,02F,57,,,m_cpu->convertTToQuad
15.02C,CVTGF/C,15,02C,54,,,m_cpu->convertVaxGToF
15.0AC,CVTGF,15,0AC,D4,,,m_cpu->convertVaxGToF
15.12C,CVTGF/UC,15,12C,154,,,m_cpu->convertVaxGToFUnbiased
17.02,CPYS,17,2,2A,,,m_cpu->copySign
17.022,CPYSE,17,22,4A,,,m_cpu->copySignExponent
17.021,CPYSN,17,21,49,,,m_cpu->copySignNegate
15.083,DIVF,15,83,AB,,,m_cpu->divFFormat
16.003,DIVS/C,16,3,2B,,,m_cpu->divSFormat
16.043,DIVS/M,16,43,6B,,,m_cpu->divSFormat
16.083,DIVS,16,83,AB,,,m_cpu->divSFormat
16.0C3,DIVS/D,16,0C3,EB,,,m_cpu->divSFormat
16.023,DIVT/C,16,23,4B,,,m_cpu->divTFormat
16.063,DIVT/M,16,63,8B,,,m_cpu->divTFormat
16.0A3,DIVT,16,0A3,CB,,,m_cpu->divTFormat
16000,DIVT/D,16000,,28,,,m_cpu->divTFormat
17.02A,FCMOVEQ,17,02A,52,,,m_cpu->floatConditionalMove
17.02B,FCMOVNE,17,02B,53,,,m_cpu->floatConditionalMove
17.02C,FCMOVLT,17,02C,54,,,m_cpu->floatConditionalMove
17.02D,FCMOVGE,17,02D,55,,,m_cpu->floatConditionalMove
17.02E,FCMOVLE,17,02E,56,,,m_cpu->floatConditionalMove
17.02F,FCMOVGT,17,02F,57,,,m_cpu->floatConditionalMove
17.025,MF_FPCR,17,25,4D,,,m_cpu->getFPCR()
Default,,,,,,,m_cpu->getPC()
11.14,CMOVLBS,11,14,3C,,ExecuteLoadAddress,m_cpu->getRegister
11.16,CMOVLBC,11,16,3E,,ExecuteLoadAddress,m_cpu->getRegister
11.24,CMOVEQ,11,24,4C,,ExecuteLoadAddress,m_cpu->getRegister
11.26,CMOVNE,11,26,4E,,ExecuteLoadAddress,m_cpu->getRegister
11.44,CMOVLT,11,44,6C,,ExecuteLoadAddress,m_cpu->getRegister
11.46,CMOVGE,11,46,6E,,ExecuteLoadAddress,m_cpu->getRegister
11.64,CMOVLE,11,64,8C,,ExecuteLoadAddress,m_cpu->getRegister
11.66,CMOVGT,11,66,8E,,ExecuteLoadAddress,m_cpu->getRegister
11.6C,IMPLVER,11,6C,94,,ExecuteLoadAddress,m_cpu->implVersion()
15.082,MULF,15,82,AA,,,m_cpu->mulFFormat
16.002,MULS/C,16,2,2A,,,m_cpu->mulSFormat
16.042,MULS/M,16,42,6A,,,m_cpu->mulSFormat
16.082,MULS,16,82,AA,,,m_cpu->mulSFormat
16.0C2,MULS/D,16,0C2,EA,,,m_cpu->mulSFormat
0B,LDQ_U,0B,,28,,ExecuteLoadAddress,m_cpu->readMemory64
0F,STQ_U,0F,,28,,ExecuteLoadAddress,"m_cpu->readMemory64 
m_cpu->writeMemory64 
m_cpu->triggerException"
0A,LDBU,0A,,28,,ExecuteLoadAddress,m_cpu->readMemory8
0C,LDWU,0C,,28,,ExecuteLoadAddress,m_cpu->setRegister
15.081,SUBF,15,81,A9,,,m_cpu->subFFormat
16.001,SUBS/C,16,1,29,,,m_cpu->subSFormat
16.041,SUBS/M,16,41,69,,,m_cpu->subSFormat
16.081,SUBS,16,81,A9,,,m_cpu->subSFormat
16.0C1,SUBS/D,16,0C1,E9,,,m_cpu->subSFormat
16.021,SUBT/C,16,21,49,,,m_cpu->subTFormat
16.061,SUBT/M,16,61,89,,,m_cpu->subTFormat
16.0A1,SUBT,16,0A1,C9,,,m_cpu->subTFormat
160,SUBT/D,160,,28,,,m_cpu->subTFormat
0D,STW,0D,,28,,ExecuteLoadAddress,m_cpu->writeMemory16
0E,STB,0E,,28,,ExecuteLoadAddress,m_cpu->writeMemory8
8,LDA,8,,28,,ExecuteLoadAddress,N/A
9,LDAH,9,,28,,ExecuteLoadAddress,N/A
0,CALL_PAL,0,,28,,,
1,OPC01,1,,28,,,
2,OPC02,2,,28,,,
3,OPC03,3,,28,,,
4,OPC04,4,,28,,,
5,OPC05,5,,28,,,
6,OPC06,6,,28,,,
7,OPC07,7,,28,,,
10,ADDL,10,,28,,ExecuteLoadAddress,
10.02,S4ADDL,10,2,2A,,ExecuteLoadAddress,
10.09,SUBL,10,9,31,,ExecuteLoadAddress,
10.0B,S4SUBL,10,0B,33,,ExecuteLoadAddress,
10.0F,CMPBGE,10,0F,37,,ExecuteLoadAddress,
10.12,S8ADDL,10,12,3A,,ExecuteLoadAddress,
10.1B,S8SUBL,10,1B,43,,ExecuteLoadAddress,
10.1D,CMPULT,10,1D,45,,ExecuteLoadAddress,
10.2,ADDQ,10,2,2A,,ExecuteLoadAddress,
10.22,S4ADDQ,10,22,4A,,ExecuteLoadAddress,
10.29,SUBQ,10,29,51,,ExecuteLoadAddress,
10.2B,S4SUBQ,10,2B,53,,ExecuteLoadAddress,
10.2D,CMPEQ,10,2D,55,,ExecuteLoadAddress,
10.32,S8ADDQ,10,32,5A,,ExecuteLoadAddress,
10.3B,S8SUBQ,10,3B,63,,ExecuteLoadAddress,
10.3D,CMPULE,10,3D,65,,ExecuteLoadAddress,
10.4,ADDL/V,10,4,2C,,ExecuteLoadAddress,
10.49,SUBL/V,10,49,71,,ExecuteLoadAddress,
10.4D,CMPLT,10,4D,75,,ExecuteLoadAddress,
10.6,ADDQ/V,10,6,2E,,ExecuteLoadAddress,
10.69,SUBQ/V,10,69,91,,ExecuteLoadAddress,
10.6D,CMPLE,10,6D,95,,ExecuteLoadAddress,
11,AND,11,,28,,ExecuteLoadAddress,
11.08,BIC,11,8,30,,ExecuteLoadAddress,
11.2,BIS,11,2,2A,,ExecuteLoadAddress,
11.28,ORNOT,11,28,50,,ExecuteLoadAddress,
11.4,XOR,11,4,2C,,ExecuteLoadAddress,
11.48,EQV,11,48,70,,ExecuteLoadAddress,
11.61,AMASK,11,61,89,,ExecuteLoadAddress,
12.02,MSKBL,12,2,2A,,,
12.06,EXTBL,12,6,2E,,,
12.0B,INSBL,12,0B,33,,,
12.12,MSKWL,12,12,3A,,,
12.16,EXTWL,12,16,3E,,,
12.1B,INSWL,12,1B,43,,,
12.22,MSKLL,12,22,4A,,,
12.26,EXTLL,12,26,4E,,,
12.2B,INSLL,12,2B,53,,,
12.3,ZAP,12,3,2B,,,
12.31,ZAPNOT,12,31,59,,,
12.32,MSKQL,12,32,5A,,,
12.34,SRL,12,34,5C,,,
12.36,EXTQL,12,36,5E,,,
12.39,SLL,12,39,61,,,
12.3B,INSQL,12,3B,63,,,
12.3C,SRA,12,3C,64,,,
12.52,MSKWH,12,52,7A,,,
12.57,INSWH,12,57,7F,,,
12.5A,EXTWH,12,5A,82,,,
12.62,MSKLH,12,62,8A,,,
12.67,INSLH,12,67,8F,,,
12.6A,EXTLH,12,6A,92,,,
12.72,MSKQH,12,72,9A,,,
12.77,INSQH,12,77,9F,,,
12.7A,EXTQH,12,7A,A2,,,
13,MULL,13,,28,,,
13.2,MULQ,13,2,2A,,,
13.3,UMULH,13,3,2B,,,
13.4,MULL/V,13,4,2C,,,
13.6,MULQ/V,13,6,2E,,,
14.004,ITOFS,14,4,2C,,,
14.00A,SQRTF/C,14,00A,32,,,"m_cpu->getFloatRegister
 m_cpu->setFloatRegister"
14.00B,SQRTS/C,14,00B,33,,,"m_cpu->getFloatRegister
 m_cpu->setFloatRegister"
14.014,ITOFF,14,14,3C,,,
14.024,ITOFT,14,24,4C,,,
14.02A,SQRTG/C,14,02A,52,,,"m_cpu->getFloatRegister
 m_cpu->setFloatRegister"
14.02B,SQRTT/C,14,02B,53,,,"m_cpu->getFloatRegister
 m_cpu->setFloatRegister"
14.04B,SQRTS/M,14,04B,73,,,"m_cpu->getFloatRegister
 m_cpu->setFloatRegister"
14.06B,SQRTT/M,14,06B,93,,,"m_cpu->getFloatRegister
 m_cpu->setFloatRegister"
14.08A,SQRTF,14,08A,B2,,,"m_cpu->getFloatRegister
m_cpu->scaleVaxFResult
m_cpu->setFloatRegister"
14.08B,SQRTS,14,08B,B3,,,"m_cpu->getFloatRegister
m_cpu->scaleIeeeSResult
m_cpu->setFloatRegister"
14.0AA,SQRTG,14,0AA,D2,,,"m_cpu->getFloatRegister
m_cpu->scaleVaxGResult
m_cpu->setFloatRegister"
14.0AB,SQRTT,14,0AB,D3,,,"m_cpu->getFloatRegister
m_cpu->scaleIeeeTResult
m_cpu->setFloatRegister"
14.0CB,SQRTS/D,14,0CB,F3,,,"m_cpu->getFloatRegister
 m_cpu->setFloatRegister"
14.0EB,SQRTT/D,14,0EB,113,,,m_cpu->getFloatRegister
14.10A,SQRTF/UC,14,10A,132,,,m_cpu->convertToVaxF
14.10B,SQRTS/UC,14,10B,133,,,m_cpu->convertToIeeeS
14.12A,SQRTG/UC,14,12A,152,,,m_cpu->convertToVaxG
14.12B,SQRTT/UC,14,12B,153,,,m_cpu->triggerFloatingPointException m_cpu->setFloatRegister
14.14B,SQRTS/UM,14,14B,173,,,
14.16B,SQRTT/UM,14,16B,193,,,
14.18A,SQRTF/U,14,18A,1B2,,,"m_cpu->getFloatRegister
m_cpu->applyUnbiasedRounding
m_cpu->convertToVaxF(result)
m_cpu->setFloatRegister"
14.18B,SQRTS/U,14,18B,1B3,,,"m_cpu->getFloatRegister
m_cpu->applyUnbiasedRounding
m_cpu->convertToIeeeS
m_cpu->setFloatRegister"
14.1AA,SQRTG/U,14,1AA,1D2,,,"m_cpu->getFloatRegister
m_cpu->applyUnbiasedRounding
 m_cpu->convertToVaxG
m_cpu->setFloatRegister"
14.1AB,SQRTT/U,14,1AB,1D3,,,"m_cpu->getFloatRegister
m_cpu->applyUnbiasedRounding
m_cpu->convertToIeeeT
m_cpu->setFloatRegister"
14.1CB,SQRTS/UD,14,1CB,1F3,,,"result = m_cpu->scaleIeeeTResult
m_cpu->convertToIeeeS
m_cpu->setFloatRegister"
14.1EB,SQRTT/UD,14,1EB,213,,,"result = m_cpu->scaleIeeeTResult
m_cpu->convertToIeeeT
m_cpu->setFloatRegister"
14.40A,SQRTF/SC,14,40A,432,,,"m_cpu->getFloatRegister
m_cpu->triggerFloatingPointException
m_cpu->scaleVaxFResult
m_cpu->setFloatRegister"
14.42A,SQRTG/SC,14,42A,452,,,"m_cpu->getFloatRegister
m_cpu->triggerFloatingPointException
 m_cpu->scaleVaxGResult
m_cpu->setFloatRegister"
14.48A,SQRTF/S,14,48A,4B2,,,
14.4AA,SQRTG/S,14,4AA,4D2,,,
14.50A,SQRTF/SUC,14,50A,532,,,"m_cpu->getFloatRegister
m_cpu->triggerFloatingPointException
m_cpu->scaleVaxFResult
m_cpu->checkFloatingPointExceptions
 m_cpu->triggerFloatingPointException
  m_cpu->setFloatRegister"
14.50B,SQRTS/SUC,14,50B,533,,,"m_cpu->getFloatRegister
m_cpu->triggerFloatingPointException
m_cpu->scaleIeeeSResult
m_cpu->checkFloatingPointExceptions
 m_cpu->triggerFloatingPointException
  m_cpu->setFloatRegister"
14.52A,SQRTG/SUC,14,52A,552,,,"m_cpu->getFloatRegister
m_cpu->triggerFloatingPointException
 result = m_cpu->scaleVaxGResult
m_cpu->checkFloatingPointExceptions
 m_cpu->triggerFloatingPointException
  m_cpu->setFloatRegister"
14.52B,SQRTT/SUC,14,52B,553,,,"m_cpu->getFloatRegister
m_cpu->triggerFloatingPointException
m_cpu->scaleIeeeTResult
m_cpu->checkFloatingPointExceptions
 m_cpu->triggerFloatingPointException
  m_cpu->setFloatRegister"
14.54B,SQRTS/SUM,14,54B,573,,,"m_cpu->setFloatingPointFlag
m_cpu->scaleIeeeSResult(rounded);
 m_cpu->setFloatRegister
m_cpu->getFloatRegister"
14.56B,SQRTT/SUM,14,56B,593,,,"m_cpu->setFloatingPointFlag
m_cpu->scaleIeeeTResult(rounded);
 m_cpu->setFloatRegister
m_cpu->getFloatRegister"
14.58A,SQRTF/SU,14,58A,5B2,,," m_cpu->getFloatRegister
m_cpu->applyUnbiasedRounding
m_cpu->scaleVaxFResult
m_cpu->setFloatRegister"
14.58B,SQRTS/SU,14,58B,5B3,,," m_cpu->getFloatRegister
m_cpu->applyUnbiasedRounding
m_cpu->scaleIeeeSResult
m_cpu->setFloatRegister"
14.5AA,SQRTG/SU,14,5AA,5D2,,,"m_cpu->getFloatRegister
m_cpu->applyUnbiasedRounding
m_cpu->scaleVaxGResult
m_cpu->setFloatRegister"
14.5AB,SQRTT/SU,14,5AB,5D3,,," m_cpu->getFloatRegister
m_cpu->applyUnbiasedRounding
result = m_cpu->scaleIeeeTResult
m_cpu->setFloatRegister"
14.5CB,SQRTS/SUD,14,5CB,5F3,,,"m_cpu->setFloatingPointFlag
m_cpu->scaleIeeeSResult(rounded);
 m_cpu->setFloatRegister
m_cpu->getFloatRegister"
